Nodes,Execution_Time_Bruteforce,Execution_Time_CUDA
4,0.000021,1.023e-06
5,0.000020,2.773e-06
6,0.000023,7.472e-06
7,0.000022,2.0772e-05
8,0.000043,5.479e-05
9,0.000046,0.000254195
10,0.000162,0.000346224 
11,0.001543,0.000860431
12,0.018341,0.00205667
13,0.225360,0.00478523
14,0.403661 ,0.0114477
15,0.539362,0.0265484
16,0.661198,0.0650195
17,0.703940,0.164437
18,1.407880,0.375428
19,2.815760,0.998055
20,5.631520,2.504
21,11.263040, 5.008000
22,22.526080,10.016000
23,45.052160 ,20.032000 
24,90.104320, 40.064000
25,180.208640,80.128000
26,360.417280,160.256000
27,720.834560,320.512000
28,1441.669120,641.024000
29, 2883.338240,1282.048000
30, 5766.676480,2564.096000