Nodes,Execution_Time
4,0.000199
5,0.000051
6,0.000173
7,0.000079
8,0.000106
9,0.000242
10,0.000652
11,0.001436
12,0.003413
13,0.009456
14,0.027506
15,0.073007
16,0.197654
17,0.542971
18,1.492945
19,4.126839
20,8.893349
21,19.513021
22,54.848179
23,129.628736
4,0.000036
4,0.000035
4,0.000034
4,0.000042
4,0.000027
4,0.000029
4,0.000038
4,0.000040
5,0.000003
5,0.000004
5,0.000004
5,0.000003
5,0.000004
5,0.000004
5,0.000004
5,0.000003
6,0.000009
6,0.000006
6,0.000009
6,0.000009
6,0.000009
6,0.000009
6,0.000007
6,0.000009
7,0.000017
7,0.000022
7,0.000022
7,0.000022
7,0.000019
7,0.000021
7,0.000022
7,0.000022
8,0.000047
8,0.000057
8,0.000049
8,0.000057
8,0.000056
8,0.000056
8,0.000056
8,0.000056
9,0.000122
9,0.000110
9,0.000139
9,0.000139
9,0.000138
9,0.000139
9,0.000137
9,0.000140
10,0.000246
10,0.000294
10,0.000334
10,0.000333
10,0.000334
10,0.000333
10,0.000334
10,0.000335
11,0.000756
11,0.000751
11,0.000814
11,0.000809
11,0.000809
11,0.000803
11,0.000808
11,0.000807
12,0.001560
12,0.001796
12,0.001946
12,0.001944
12,0.001959
12,0.001944
12,0.001943
12,0.001956
13,0.004332
13,0.004518
13,0.004694
13,0.004713
13,0.004716
13,0.004705
13,0.004717
13,0.004728
14,0.010509
14,0.010814
14,0.011275
14,0.011275
14,0.011273
14,0.011267
14,0.011433
14,0.011420
15,0.030878
15,0.030858
15,0.035136
15,0.035245
15,0.035215
15,0.035597
15,0.036076
15,0.036765
16,0.097793
16,0.092943
16,0.108039
16,0.100797
16,0.134443
16,0.133891
16,0.134422
16,0.136023
17,0.251413
17,0.257147
17,0.260849
17,0.267005
17,0.316138
17,0.330874
17,0.342768
17,0.346027
18,0.646215
18,0.646514
18,0.650019
18,0.696160
18,0.843280
18,0.829968
18,0.845980
18,0.847867
19,1.588990
19,1.614263
19,1.888243
19,1.655122
19,2.001761
19,1.750010
19,2.061196
19,2.155689
20,4.043961
20,4.104518
20,4.022462
20,3.914283
20,4.923817
20,5.193911
20,4.976459
20,5.212386
21,9.730630
21,9.003916
21,10.275355
21,9.456968
21,10.734294
21,11.572937
21,11.756534
21,11.811638
22,20.837126
22,22.362788
22,22.630571
22,23.254465
22,23.359395
22,27.594998
22,27.574024
22,28.609709
4,0.000060
5,0.000012
6,0.000827
7,0.000061
8,0.000064
9,0.000159
10,0.000346
11,0.000863
12,0.001993
13,0.005074
14,0.013059
15,0.028459
16,0.066281
17,0.182011
18,0.476050
19,1.163203
20,2.928814
21,7.479703
22,19.752301
23,45.656003